Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 MPRJ nº 025/2024;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;28.305.936/0001-40;Ministério Público do Estado do Rio de Janeiro ? MPRJ;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 10.203/2024;Ratificar e regulamentar a cessão da servidora Íris Vieira Suoni Batista, matrícula 28.256, para atuação no Ministério Público do Estado do Rio de Janeiro ? MPRJ.;2024-05-27;24 meses, a contar da data de sua assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 SENASP 363/2024;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;00.394.494/0005-60;Secretaria Nacional de Segurança Pública - SENASP;GABINETE DO PREFEITO;Não se Aplica;; 27.064/2024;Doação de viaturas caracterizadas destinadas à Guarda Municipal, referente ao Programa Nacional de Segurança Pública com Cidadania ? PRONASCI 2 e Patrulha Maria da Penha, nos termos do Decreto nº 9.373, de 11 de maio de 2018 e suas alterações, que regulamenta as formas de alienação de material no âmbito da Administração Pública Federal, e do Decreto nº 11.614, de 21 de julho de 2023, constantes no Anexo I do Termo de Doação n° 363/2024.;2024-07-03;60 (sessenta) meses, a contar da data de assinatura.;R$ 765.600,00;R$ 0,00;R$ 765.600,00;
 001/2023SEMINF;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;14.417.113/0001-00;ASSOCIAÇÃO  BRASILEIRA DE RECICLAGEM DE ELETROELETRÔNICOS E ELETRODOMÉSTICOS - ABREE;SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS;Não se Aplica; 01; 71168/2022;1.1.	O presente Termo representa a união de esforços das Partes para a implementação e a operacionalização do sistema de logística reversa de produtos eletroeletrônicos de uso doméstico e seus componentes em fim de vida, no modelo coletivo ABREE, em atenção à Lei Federal nº 12.305/2010 e ao Decreto Federal nº 10.240/2020, objetivando o recebimento desses equipamentos gerados no território do Município, bem como, a sua destinação final ambientalmente adequada (?Projeto?).;2023-10-04;36 MESES;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2023/EMATER-RIO (Convênio: 49542561/2023);Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.223.492/0053-97;Empresa de Assistência Técnica e Extensão Rural ? EMATER-RIO.;SECRETARIA MUNICIPAL DE AGROECONOMIA;Não se Aplica;; 2019/2023;Execução de atividades de assistência técnica e extensão rural, fundamentadas nas políticas públicas, no âmbito da Empresa de Assistência Técnica e Extensão Rural ? EMATER-RIO, voltadas para o desenvolvimento econômico, social e ambiental da agropecuária municipal, tendo como unidade de planejamento e intervenção a microbacia hidrográfica e como público prioritário os agricultores familiares das comunidades rurais a ela vinculada.;2023-04-18;24 (vinte e quatro) meses a contar da data de sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2023 SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;59.833.673/0001-75;Associação Brasileira de Difusão do Livro - ABDL;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Inexigibilidade; 001/2023 SEMED; 600112/2023;Execução do plano de trabalho para a realização do evento Festival de Literatura e Cultura de Macaé ? FLICMAC-2023, mediado pela Entidade Colaboradora, através do convite e a garantia de participação das principais editoras do Brasil, com a contratação de colaboradores para a realização do evento e com a incumbência de intermediar a concessão de crédito público, ofertado pela Entidade Celebrante, mediante o uso de voucher, denominado ?Vale Livro?, em favor dos alunos das escolas de Educação Infantil, Ensino Fundamental e Ensino Médio da Rede Municipal de Ensino de Macaé e respectivos Professores lotados nas Unidades Escolares e aqueles de prestam apoio às atividades pedagógicas, para a exclusiva aquisição de livros e artigos literários de seu interesse que estejam expostos à venda no Festival de Literatura e Cultura de Macaé ? FLICMAC-2023, conforme os termos da Lei Municipal nº5.085/2023.;2023-11-01;03 meses;R$ 1.920.000,00;R$ 0,00;R$ 1.920.000,00;
 Contrato de Rateio 016/2023 - CIDENNF;Prefeitura Municipal de Macaé;Instrumento Original;Contrato de Repasse;32.233.059/0001-16;Consórcio Público Intermunicipal de Desenvolvimento Norte e Noroeste Fluminense ? CIDENNF;SECRETARIA MUNICIPAL ADJUNTA DE RELAÇÕES INSTITUCIONAIS;Não se Aplica;; 7.374/2023;Rateio dos recursos financeiros necessários à realização das despesas correntes e de capital do CIDENNF.;2023-07-19;31 de dezembro de 2023;R$ 312.915,36;R$ 0,00;R$ 312.915,36;
 61958772/2023 - SEI 480001/000583/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;49.384.195/0001-00|42.498.683/0001-07;Secretaria de Estado de Energia e Economia do Mar - SEENEMAR |Secretaria de Desenvolvimento Econômico, Indústria, Comércio e serviços ? SEDEICS.;SECRETARIA MUNICIPAL ADJUNTA DE TRABALHO E RENDA;Não se Aplica;; 47.456/2023;Estabelecer parceria entre a SEENEMAR, SEDEICS, e a Prefeitura de Macaé com a finalidade de implementar o projeto ?QUALIFICA JÁ?, que consiste no oferecimento de cursos de capacitação profissional a pessoas com Ensino Fundamental II completo em busca do primeiro emprego e renovar os certificados vencidos dos profissionais das áreas industriais nos setores de petróleo e gás/energia no Município de Macaé.;2023-10-26;15 (quinze) meses, a contar da data da assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 114/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.737.103/0001-10;Serviço de Apoio às Micro e Pequenas Empresas do Estado do Rio de Janeiro - SEBRAE-RJ;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica; 114/2023; 16174/2023;Trata-se de acordo de cooperação técnica celebrada entre o Município de Macaé-RJ e o SEBRAE-RJ para a capacitação presencial ou via EAD dos professores da rede municipal de ensino para a temática educação empreendedora com conteúdo e ferramentas de empreendedorismo através da solução Jovens Empreendedores Primeiros Passos, visando disseminar a educação empreendedora.;2023-08-07;8 meses;R$ 0,00;R$ 0,00;R$ 0,00;
 013/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;17.709.197/0001-35;Município de Além Paraíba-MG;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 32.919/2023;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2023-12-29;31 de dezembro de 2024.;R$ 0,00;R$ 0,00;R$ 0,00;
 012/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;58.251.711/0001-19;Instituto Superior de Educação Santa Cecília;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Chamamento Público; 005/2022; 45.455/2023;Concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição convenente e que frequentem efetivamente os cursos de Pedagogia (licenciatura), Educação Especial (licenciatura), Letras (licenciatura): Português-Inglês, Português-Libras e Português-Espanhol, História (licenciatura), Ciências Biológicas (licenciatura), Matemática (licenciatura), Geografia (licenciatura), Artes Visuais (licenciatura), Educação Física (licenciatura), Biblioteconomia (bacharelado), Serviço Social (bacharelado), Psicopedagogia (bacharelado).;2023-12-19;05 (cinco) anos a contar da data da assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
