Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 041/2024-PROCON/RJ;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;14.025.815/0001-30;Autarquia de Proteção e Defesa do Consumidor do Estado do Rio de Janeiro ? PROCON/RJ.;SECRETARIA MUNICIPAL ADJUNTA DE DEFESA DO CONSUMIDOR - PROCON/MACAÉ ;Não se Aplica;; 11.350/2024;Municipalização do Sistema de Proteção e Defesa do Consumidor pelo PROCON-RJ, visando o estabelecimento de diretrizes, buscando de forma permanente e contínua a orientação técnica e legal, a uniformização e a padronização do atendimento ao consumidor  bem como o auxílio para implantação e uso do sistema de atendimento ProConsumidor, podendo, para tanto, serem realizados cursos e treinamentos para sua aplicação, registro, armazenamento e compartilhamento da base de dados municipal de demandas de consumo com as bases estadual e nacional, resultando, inclusive, na elaboração dos Cadastros Estadual e Nacional de Reclamações Fundamentadas, dentre outras ações que promovam políticas públicas integradas para a defesa do consumidor.;2024-10-02;36 (trinta e seis) meses, a contar da data de sua publicação.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2023 ? SEAPPA;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.642/0001-02;Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento;GABINETE DO PREFEITO;Não se Aplica;; 29.863/2023;Cooperação entre os partícipes para a operacionalização das ações afetas à SEAPPA, objetivando a execução de intervenções para a manutenção, conservação e recuperação das estradas vicinais, de acordo com as demandas apresentadas pelo município.;2023-06-27;12 (doze) meses a contar da data da publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;42.498.600/0001-71;Estado do Rio de Janeiro, por meio da Secretaria de Estado de Infraestrutura e Obras  SEINFRA;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 5497/2022;Estabelecimento de parceria entre o Estado e o Município destinado a produção de unidades habitacionais no âmbito do Programa ?Casa da Gente?.;2022-02-22;Prazo de vigência vinculado à permanência do Programa "CASA DA GENTE".;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2018;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;33.000.167/1007-50|33.000.167/1055-58;Petroleo Brasileiro - PETROBRAS / S.A|Petroleo Brasileiro - PETROBRAS / S.A;GABINETE DO PREFEITO;Não se Aplica;;;À retenção e o recolhimento do Imposto Sobre Serviços de Qualquer Natureza (ISSQN) pelos estabelecimentos da PETROBRAS e respectivas inscrições municipais, situados no Município de Macaé, identificados pela raiz de CNPJ sob os números 33.000.167, inclusive filiais constituídas para representação das operações da empresa por meio de consórcio, bem como para demais empresas do sistema Petrobras.;2018-04-02;24 (vinte quatro) meses, a partir de 02/04/2018;R$ 0,00;R$ 0,00;R$ 0,00;
 S/Nº 08 DE ABRIL 2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;03.567.964/0001-04;Instituto de Previdência dos Servidores do Município de Macaé - MACAEPREV;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE MACAÉ ? MACAEPREV;Não se Aplica;; 310647/2021;Adesão ao Sistema de Compensação Previdenciária - COMPREV, disponibilizado pela secretaria Especial de Previdência e Trabalho - SEPRT do Ministério da Economia.;2022-04-08;5 ANOS;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2020;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.659/0001-60;Secretaria de Estado de Educação do Rio de Janeiro;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica;; 9621/2019;A conclusão da obra de estrutura física e instalações prediais do Colégio Estadual Carlos Walter Marinho Campos, situada no bairro Lagomar no Município de Macaé/RJ, visando o compartilhamento de uso, pelo Estado do Rio de Janeiro e pelo Município de Macaé, devidamente representados por suas respectivas Secretarias de Educação, para atendimento educacional à população.;2020-03-13;05 (cinco) anos, a contar data de sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2019;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;09.280.442/0001-03;Junta Comercial do Estado do Rio de Janeiro - JUCERJA/REGIN;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 44279/2019;A colaboração entre os convenentes para a interligação dos sistemas de informática entre a JUCERJA e o Município, mediante implantação do Projeto denominado REGIN, visando à consecução dos meios de acesso a pesquisa mútuas interligadas entre a base de dados da JUCERJA e do Município, com o objetivo de gerar as informações necessárias a viabilizar o registro empresarial na JUCERJA e ainda a emissão do número de inscrição do CNPJ, emissão do número de Inscrição Estadual, emissão do alvará de funcionamento pelo Município, a emissão do alvará de bombeiro e a emissão de alvarás da vigilância sanitária e dos órgãos de meio ambiente.;2019-10-16;05 (cinco) anos, a contar data da sua publicação no DOERJ.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2019;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;09.280.442/0001-03;Junta Comercial do Estado do Rio de Janeiro - JUCERJA/COGIRE;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 35477/2019;A adesão do município à Redesim (Rede Nacional para a Simplificação do Registro e da Legalização de Empresas e Negócios), visando à implementação do Alvará Eletrônico Automatizado, sob a iniciativa da Junta Comercial do Estado do Rio de Janeiro - JUCERJA.;2019-10-16;Indeterminado.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.690.668/0001-02;Secretaria de Estado de Polícia Militar - SEPM;SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica; s/nº/2025-SEPM; SEI 001827/2025  e SEI-350001/007893/2025;Fortalecer as ações de segurança pública e aprimorar o atendimento das demandas da população no âmbito da segurança no município de Macaé.;2025-09-09;24 (vinte e quatro) meses;R$ 0,00;R$ 0,00;R$ 0,00;
 S/N de 31 de janeiro 2014;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;;União;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;;;Estabelecer parceria com o MUNICÍPIO, objetivando a execução do Programa MINHA CASA, MINHA VIDA.;2014-01-31;indeterminado;R$ 0,00;R$ 0,00;R$ 0,00;
 S/N de 30 de junho de 2015;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;02.932.524/0001-46;Secretaria Estadual de Assistência Social e Direitos Humanos;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Não se Aplica;;;Termo de Adesão ao Programa Renda Melhor, afim de cooperar, no âmbito de seu território, com a SEASDH, segundo o previsto no Decreto nº 42.949, de maio de 2011 e na Lei Estadual nº 6.088 de novembro de 2011.;2015-06-30;36 (trinta e seis) meses a contar da data de publicação.;R$ 0,00;R$ 0,00;R$ 0,00;
 MDR/MMFDH nº 9 de 26 de Agosto de 2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;03.353.358/0001-96;Ministério do Desenvolvimento Regional;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 44.273/2022;Assistência financeira destinada a auxiliar o custeio da gratuidade das pessoas idosas no transporte público coletivo urbano.;2022-10-07;23/09/2022 à 31/05/2023;R$ 0,00;R$ 1.959.035,78;R$ 1.959.035,78;
 10/2025/ERGE-RJ;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;00.394.494/0111-70;Superintendência da Polícia Rodoviária Federal no Rio de Janeiro;SECRETARIA EXECUTIVA DE SEGURANÇA;Não se Aplica;; 019512/2025;Promover a preservação da ordem publica, da incolumidade das pessoas e do patrimônio, por meio de atuação conjunta, coordenada, sistêmica e integrada dos Participes, no âmbito de suas competências e atribuições legais, e estabelecer procedimentos de cooperação técnica e operacional, em especial, o intercambio de conhecimentos, informações, imagens, dados e tecnologias.;2026-01-13;60 (sessenta) meses;R$ 0,00;R$ 0,00;R$ 0,00;
 E-12.040.167.2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;30.295.513/0001-38;DETRAN;GABINETE DO PREFEITO;Não se Aplica;; E-12/040/167/2017 (31835/2017);A união dos meios materiais e humanos dos CONVENENTES na administração do trânsito no território do MUNICÍPIO, inclusive quanto ao exercício do poder de polícia, em decorrência das atribuições delegadas pelos artigos 22 e 24, do CTB, competindo-lhes, em conjunta ou separadamente, a aplicação das penalidades de multas cabíveis estabelecidas nos referidos dispositivos legais.;2017-09-29;04 (quatro) anos a contar da data de publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 Convênio vinculado ao proc. MPRJ 2014.00299916;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.305.936/0001-40;Ministério Público do Estado do Rio de Janeiro;GABINETE DO PREFEITO;Não se Aplica;; Proc. Adm MP 2014.00299916;Este Convênio tem por objeto ratificar e regulamentar a cessão de servidor ao MPRJ, por parte do MUNICÍPIO, para prestar serviços ao MPRJ.;2014-12-23;24 meses;R$ 0,00;R$ 0,00;R$ 0,00;
 Convênio s.no-2019 - BAC;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.690.668/0001-02;Estado do Rio de Janeiro - Secretaria de Estado de Polícia Militar - SEPM;GABINETE DO PREFEITO;Não se Aplica;; 8413/2019;A promoção da segurança pública nos Municípios da Região Norte do Estado e Região dos Lagos, consubstanciada na construção de imóveis para instalação da 2ª Companhia (Destacada) do Batalhão de Ações com Cães - BAC, da Polícia Militar do Estado de Polícia Militar - PMERJ/SEPM, a serem implantadas no Município de Macaé/RJ, bem como, a disponibilidade de efetivo policial militar para garantir a operacionalidade mínima do funcionamento da nova Unidade.;2019-07-23;05 (cinco) anos, a contar data da sua publicação.;R$ 0,00;R$ 0,00;R$ 0,00;
 913439/2021/MDR/CAIXA;Prefeitura Municipal de Macaé;Instrumento Original;Contrato de Repasse;00.360.330/5001-04;União Federal por intermédio do Ministério do Desenvolvimento Regional, representado pela Caixa Econômica Federal;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 76673/2021 e 29281/2021;Implantação de Estação de Tratamento de Esgoto, nível secundário a fim de atender a população do Distrito de Frade - Macaé/RJ.;2021-10-29;05 (cinco) de Dezembro de 2022 (Distrato).;R$ 1.152.697,00;R$ 47.303,00;R$ 1.200.000,00;
 Adesão Programa Auxílio Brasil e ao Cadastro Único;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;05.526.783/0001-65;Ministério da Cidadania.;GABINETE DO PREFEITO;Não se Aplica;; 49.322/2022;Adesão do Município ao Programa Auxílio Brasil e ao Cadastro Único, a fim de cooperar, no âmbito de seu território, com o MINISTÉRIO, segundo o previsto no art. 22, caput e § 1º, da Lei nº 14.4284, de 29 de dezembro de 2021, e art. 7° do Decreto nº 11.016, de 29 de março de 2022.;2022-12-07;05 anos a contar da data da assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2026-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.969.138/0001-42;ORGANIZAÇÃO DA SOCIEDADE CIVIL - OSC, INSTITUTO NACIONAL DE DESENVOLVIMENTO HUMANO - INADH;SECRETARIA EXECUTIVA DE QUALIFICAÇÃO PROFISSIONAL;Chamamento Público; 021/2025; 600380/2025;O presente termo de colaboração, decorrente do Chamamento Público nº 021/2025, tem por objeto a SELEÇÃO DE PROPOSTAS QUE TENHAM POR OBJETO CELEBRAÇÃO DE PARCERIA COM ORGANIZAÇÃO DA SOCIEDADE CIVIL ? OSC, SEM FINS LUCRATIVOS, REGULARMENTE CONSTITUÍDA VISANDO EXECUÇÃO DE ATIVIDADE DE CURSOS PROFISSIONALIZANTES DISTRIBUÍDOS EM 10 BAIRROS DE MACAÉ, MEDIANTE TERMO DE COLABORAÇÃO, NOS TERMOS DA LEI FEDERAL Nº 13.019/2014;2026-03-11;12 meses;R$ 9.636.206,95;R$ 0,00;R$ 9.636.206,95;
 012/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;02.170.098/0001-50;GRÊMIO RECREATIVO ESCOLA DE SAMBA UNIDOS DOS ESTUDANTES;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-02-03;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 011/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;09.073.018/0001-98;GRÊMIO RECREATIVO ESCOLA  DE SAMBA UNIDOS DA VILA;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-29;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 010/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.717.789/0001-45;GREMIO RECREATIVO ESCOLA DE SAMBA MOCIDADE DOS CAJUEIROS;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 009/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.385.301/0001-20;GREMIO RECREATIVO ESCOLA DE SAMBA AGUIA DOURADA;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 008/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.208.883/0001-79;GRÊMIO RECREATIVO ESCOLA DE SAMBA SOL Y MAR;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 007/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;19.155.646/0001-76;GRÊMIO RECREATIVO ESCOLA DE SAMBA MOCIDADE INDEPENDENTE DO BOTAFOGO;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 006/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;09.553.936/0001-14;GREMIO RECREATIVO ESCOLA DE SAMBA IMPERIO DA BARRA;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 005/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;29.899.994/0001-01;GRÊMIO RECREATIVO ESCOLA DE SAMBA PRINCESINHA DO ATLÂNTICO;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 004/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.840.254/0001-67;GRÊMIO RECREATIVO ESCOLA DE SAMBA UNIDOS DOS BAIRROS;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 003/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;30.412.647/0001-91;GRÊMIO RECREATIVO ESCOLA  DE SAMBA SOCIEDADE MUSICAL ACADÊMICOS DA AROEIRA;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 002/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;07.671.859/0001-71;GRÊMIO RECREATIVO ESCOLA DE SAMBA ARCO-ÍRIS ESPLENDOR DO LAGOMAR;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 001/2026;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.467.191/0001-46;COMPANHIA DE DESENVOLVIMENTO RODOVIÁRIO E TERMINAIS DO ESTADO DO RIO DE JANEIRO - CODERTE;SECRETARIA MUNICIPAL DE GOVERNO;Não se Aplica;; 001548/2025;Promoção do transporte público no Município de Macaé, consubstanciado na construção de imóvel para instalação do Novo Terminal Rodoviário Intermunicipal e Interestadual de Macaé e consequente delegação dos serviços públicos de administração de terminais rodoviários intermunicipais de passageiros localizados na área territorial do MUNICÍPIO, nos termos do artigo 6º da Lei Estadual nº 3.034/1998.;2026-01-14;35 (trinta e cinco) anos, a contar da data de sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Colaboração;12.333.665/0001-04;GRÊMIO RECREATIVO ESCOLA DE SAMBA FOLIÕES DAS MALVINAS;SECRETARIA MUNICIPAL DE TURISMO;Chamamento Público; 020/2025; 017258/2025;Execução de Atividades Culturais Relativas ao Carnaval Macaé 2026 ? Desfile Escolas de Samba, a ser realizado por Organizações da Sociedade Civil, sem finalidade lucrativa, mediante Termo de Colaboração, com fulcro na Lei Federal n.º 13.019/2014, para atender às necessidades da Secretaria Municipal de Turismo do Município de Macaé.;2026-01-26;06 (seis) meses;R$ 200.000,00;R$ 0,00;R$ 200.000,00;
 001/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;32.690.668/0001-02;Estado do Rio de Janeiro - Secretaria de Estado de Polícia Militar - SEPM;SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica;; Sei 002195/2025;Doação em caráter definitivo, com previsão de destinação pré-fixada dos bens, com encargos pela DONATÁRIA, do quantitativo de 20 viaturas semi blindadas, SUV, 0 km, devidamente caracterizadas e elencadas no ANEXO I do instrumento, buscando o fortalecimento das políticas públicas de segurança em Macaé, aumentando e propiciando patrulhamento mais eficaz e a diminuição do tempo resposta às ocorrências ocorridas nos limites municipais da DOADORA.;2026-03-04;24 (vinte e quatro) meses;R$ 3.947.011,20;R$ 0,00;R$ 3.947.011,20;
 001/2026;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;17.217.001/0001-95;ASSOCIAÇÃO BRASILEIRA DOS CRIADORES DO CAVALO MANGALARGA MARCHADOR - ABCCMM;SECRETARIA MUNICIPAL DE AGROECONOMIA;Não se Aplica;; 1793/2026;Parceria com a Associação Brasileira dos Criadores do Cavalo Mangalarga Marchador ? ABCCMM, para a realização do evento denominado ?Exposição Brasileira do Criador ? Mangalarga Marchador.?;2026-03-18;20/03/2026 a 21/03/2026;R$ 399.775,93;R$ 0,00;R$ 399.775,93;
 001/2025SEINFRA;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;29.700.101/0001-57;SOCIEDADE MUSICAL LYRA DOS CONSPIRADORES;SECRETARIA EXECUTIVA DE OBRAS;Inexigibilidade; 1º T. FOMENTO; 76045/2025;1.1.	O presente TERMO DE FOMENTO tem por objeto a formalização da relação de parceria, em regime de mútua cooperação entre o MUNICÍPIO DE MACAÉ/RJ e a OSC, para a consecução de finalidades de interesse público e recíproco, mediante a EXECUÇÃO DA RESTAURAÇÃO DO PRÉDIO SEDE DA SOCIEDADE MUSICAL LYRA DOS CONSPIRADORES, DE RELEVÂNCIA PÚBLICA E SOCIAL definido no Plano de Trabalho, que rubricado pelas partes, integra o presente instrumento.;2025-12-17;12 MESES;R$ 600.000,00;R$ 0,00;R$ 600.000,00;
 001/2025-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;49.572.851/0001-06;INSTITUTO BRK;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica;; 600.898/2024;Termo de parceria para prestação de serviços de conscientização ambiental a respeito de saneamento, abordando temas específicos relacionados à água e ao tratamento do esgoto.;2025-01-28;12 meses;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2025-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;31.504.798/0001-32;ASSOCIAÇÃO EDUCACIONAL TERAPÊUTICA SOCIEDADE DE ENSINO E TERAPIA MACAENSE (SENTROM);SECRETARIA MUNICIPAL DE EDUCAÇÃO;Inexigibilidade;; 42930/2024  42924/2024;O PRESENTE TERMO DE FOMENTO TEM POR OBJETIVO PROMOVER ATENDIMENTO EDUCACIONAL E TERAPÊUTICO A CRIANÇAS, ADOLECENTES, JOVENS E ADULTOS COM CONDIÇÕES DE DEFICIÊNCIA FÍSICA, MENTAL E NEUROLÓGICA E O DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS CULTURAIS E ARTÍSTICA, CONFORME OS ELEMENTOS CONSTANTES NO PROCESSO ADMINISTRATIVO N.º 42.930/2024;2025-05-05;12meses;R$ 2.072.301,25;R$ 0,00;R$ 2.072.301,25;
 xxx/2025-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;00.328.072/0001-62;INSTITUTO AYRTON SENNA (?IAS?);SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica; XXX; 600036/2025;Termo de Parceria de assessoramento técnico para a implementação das soluções educacionais ?Se Liga?, ?Acelera?, ?Fórmula da Vitória Português?, ?Circuito 360? e ?Gestão Nota 10?,  por meio do Plano Anual Instituto Ayrton Senna ? PRONAC 248231, pelo INSTITUTO AYRTON SENNA (?IAS?), CNPJ Nº 00.328.072/0001-62, nos termos do artigo 12 do Decreto Municipal nº146/2022;2025-02-03;11/04/2025 á 31/12/2025.;R$ 191.572,55;R$ 0,00;R$ 191.572,55;
 xxx/2025-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;42.498.659/0001-60;SEEDUC;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica; 82010720/2024; 28979/2022- SEMED;SEEDUC - TERMO DE COOPERAÇÃO .  O presente Termo tem por objeto a concessão de vagas para estágio curricular obrigatório em unidades escolares da rede municipal de ensino, aos -""--`, estudantes regularmente matriculados nas unidades escolares de ensino médio no Curso Normal da Secretaria de Estado de Educação, visando a sua preparação para o trabalho produtivo e a formação integral do educando, em conformidade com as diretrizes estabelecidas no Plano de Trabalho (Anexo I).;2024-10-14;60 MESES;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2025-Rio das Ostras;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;39.223.581/0001-66;Município de Rio das Ostras;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 1.899/2025;Cessão de servidores estáveis ocupantes de cargo efetivo, entre o CESSIONÁRIO e o CEDENTE, para exercer suas atividades laborais em conformidade com o disposto na Lei Complementar nº 066/2019 e no Decreto Municipal nº 3872/2023.;2025-01-30;01 de janeiro de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 010/2025 FIPERJ;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;31.930.852/0001-01;Fundação Instituto de Pesca do Estado do Rio de Janeiro (FIPERJ);SECRETARIA MUNICIPAL ADJUNTA DE PESCA E AQUICULTURA;Não se Aplica;; SEI nº 004078/2025;Estabelecer diretrizes de forma compartilhada, a fim de prestar serviços de Assistência Técnica e Extensão Pesqueira e Aquícola (ATEPA) à cadeia produtiva do pescado, através de esclarecimentos e orientações sobre práticas sustentáveis de cultivo de peixes, captura e sobre as políticas públicas especificas a estes setores produtivos.;2025-11-10;24 (vinte e quatro) meses, contados a partir da data de sua publicação. no DOERJ;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2025 -  MARICÁ;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.131.075/0001-93;MUNICÍPIO DE MARICÁ;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 11647/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-06-02;12 meses;R$ 0,00;R$ 0,00;R$ 0,00;
